,Screener,Tenure,TimeManaging,CloudUser,OnPremise,LocationUnk,UsedFree,UsedPersonal,UsedGrants,EmployerPaid,PaymentUnk,PersonalCost,MultipleProcessors,NoSigProject,SigTeamSize,SigYear,SigComponent,SigCost,SigGPUs,SuccessData,SuccessTeamSize,SuccessTalent,SuccessCompute,SameProject,CompTeamSize,CompYear,CompComponent,CompCost,CompGPUs,TopPriority,NeedChanges,AccessChanges,ComputeReject,ComputeRevise,ComputeAbandon,DataReject,DataRevise,DataAbandon,ResearcherReject,ResearcherRevise,ResearcherAbandon,PastData,PastCompute,PastAlgorithms,PastResearchers,PastSupport,FutureData,FutureCompute,FutureAlgorithms,FutureResearchers,FutureSupport,ContributionConcern,WantsData,WantsCompute,WantsStaff,WantsGrants,WantsStandards,Sector,ConsideredLeaving,LeavingSalary,LeavingData,LeavingCompute,LeavingProjects,LeavingContribution,CompanySize,Education,CV,Robotics,NLP,RL,Other,ImageRecognition,SaliencyDetection,ImageSegmentation,ObjectTracking,FacialRecognition,AutonomousVehicles,ImageOrVideoGeneration,CaptioningAndSummarization,Reconstruction,CVOther,Localization,Mapping,Manipulation,SLAM,Navigation,AutonomousDriving,RobotPerception,ContinuousControlRobotics,RoboticsOther,CommonSenseInference,ComputerVisionAndNLP,CrossLingualTasks,Dialogue,InformationExtraction,LanguageAndKnowledgeBases,LanguageModeling,MachineTranslation,NamedEntityRecognition,OCR,NLPOther,PartOfSpeechTagging,QuestionAnswering,SentimentAnalysis,Summarization,TextClassification,TextGeneration,ContinuousControlRL,ProgramLearning,EnvironmentsWithLanguage,ProcedurallyGeneratedEnvironments,GamePlaying,3DWorlds,SimulationDesign,RLOther,RecommenderSystems,Speech,TimeSeriesData,MusicAndAudio,GraphAnalysis,AlgorithmicOrArchitectureAnalysis,NoneofThese,PrioritySimplified
10,3.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,2.0,4.0,4.0,,2.0,3.0,1.0,4.0,3.0,1.0,0.0,6.0,,2.0,3.0,Hiring more programmers or engineers,3.0,3.0,1.0,3.0,,0.0,2.0,2.0,2.0,0.0,,2.0,,3.0,3.0,3.0,0.0,3.0,3.0,2.0,,3.0,1.0,1.0,0.0,1.0,0.0,Industry,1.0,,,,3.0,,<50 Employees,6.0,0.0,0.0,0.0,,0.0,,,,,,0.0,1.0,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,,0.0,,Talent
11,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,2.0,3.0,,3.0,2.0,0.0,3.0,4.0,4.0,0.0,1.0,5.0,3.0,4.0,6.0,Hiring more programmers or engineers,,4.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,3.0,3.0,3.0,,,3.0,,,2.0,3.0,,,0.0,1.0,0.0,,0.0,Industry,0.0,,1.0,,,2.0,,,,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,,,,,,0.0,,,,,,,,0.0,,1.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,1.0,,,,0.0,,,,,,0.0,,,,0.0,,,Talent
12,3.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,2.0,,2.0,2.0,4.0,,0.0,,1.0,4.0,2.0,0.0,0.0,5.0,,,2.0,,3.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,3.0,4.0,,2.0,,4.0,3.0,4.0,4.0,,0.0,,,1.0,1.0,0.0,Academia,,1.0,,,,,,6.0,,1.0,0.0,,0.0,,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,,1.0,,,1.0,,,,,,,1.0,0.0,1.0,,,,,Data
13,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,0.0,,,,2.0,4.0,4.0,0.0,2.0,4.0,4.0,,3.0,1.0,1.0,2.0,,0.0,2.0,Hiring more programmers or engineers,4.0,2.0,,1.0,0.0,2.0,0.0,1.0,,1.0,,,,0.0,4.0,4.0,1.0,4.0,4.0,1.0,2.0,0.0,1.0,0.0,,1.0,0.0,,,,,3.0,,0.0,,6.0,,0.0,0.0,1.0,0.0,,0.0,,0.0,,,,,1.0,,0.0,,,,1.0,,,,,0.0,,1.0,,,,,,,0.0,,,,0.0,0.0,,,0.0,,,1.0,,0.0,,,,0.0,,0.0,0.0,,,Data
14,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,,0.0,6.0,2.0,,6.0,4.0,3.0,4.0,4.0,,1.0,5.0,2.0,2.0,2.0,Purchasing more or higher-quality compute,1.0,3.0,2.0,4.0,1.0,3.0,,0.0,1.0,,,3.0,4.0,3.0,3.0,3.0,,0.0,4.0,,3.0,3.0,1.0,1.0,1.0,1.0,0.0,Academia,1.0,,,,,3.0,50-100 Employees,6.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,,,,1.0,,,,,,0.0,,,,,,,0.0,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,1.0,,,Evaluation
15,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,,1.0,,,2.0,,,,0.0,,,3.0,0.0,,4.0,1.0,1.0,5.0,2.0,3.0,2.0,Purchasing more or higher-quality compute,3.0,,,2.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,,4.0,4.0,,2.0,,4.0,,1.0,0.0,,,1.0,0.0,1.0,,Academia,1.0,,1.0,,,1.0,,5.0,1.0,0.0,0.0,0.0,0.0,,,1.0,0.0,,,0.0,,,,0.0,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,0.0,,,Talent
16,4.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,2.0,,2.0,2.0,,2.0,0.0,4.0,3.0,,1.0,6.0,3.0,2.0,2.0,Purchasing more or higher-quality compute,,2.0,0.0,,1.0,0.0,2.0,0.0,2.0,,,4.0,4.0,4.0,1.0,3.0,2.0,4.0,4.0,4.0,,1.0,,,0.0,,,Academia,0.0,,,,,2.0,,6.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,1.0,,0.0,,,0.0,,,,,,0.0,,,,1.0,,,,0.0,,1.0,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,0.0,Talent
17,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,,,1.0,4.0,2.0,,2.0,0.0,2.0,4.0,,1.0,1.0,6.0,2.0,,2.0,Hiring more programmers or engineers,4.0,,2.0,3.0,,2.0,0.0,2.0,0.0,2.0,4.0,4.0,,3.0,3.0,4.0,3.0,,4.0,,4.0,0.0,0.0,1.0,,,1.0,Industry,0.0,4.0,,2.0,0.0,1.0,>500 Employees,6.0,0.0,0.0,,0.0,0.0,1.0,,,1.0,,0.0,,,,,,,,,,,,,,,,0.0,,1.0,,0.0,,,0.0,,,0.0,1.0,,1.0,0.0,0.0,,,,,,,,1.0,,,,0.0,,,Talent
18,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,2.0,,1.0,6.0,3.0,2.0,1.0,,2.0,3.0,,0.0,,6.0,,,1.0,Hiring researchers,2.0,,,,2.0,1.0,3.0,1.0,3.0,3.0,0.0,3.0,3.0,3.0,,1.0,4.0,,4.0,4.0,4.0,2.0,,0.0,,,1.0,Industry,,4.0,,,0.0,0.0,,,,,0.0,,0.0,1.0,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,1.0,1.0,,Talent
19,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,,2.0,,4.0,2.0,2.0,,2.0,4.0,,4.0,3.0,0.0,1.0,6.0,2.0,5.0,3.0,Hiring researchers,4.0,,0.0,3.0,,3.0,,1.0,2.0,3.0,1.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,,1.0,,,1.0,,,1.0,2.0,2.0,,1.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,1.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,1.0,1.0,
20,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,2.0,,2.0,3.0,1.0,,,,3.0,,2.0,1.0,1.0,,,,,Collecting more data,3.0,4.0,1.0,,3.0,,3.0,3.0,,2.0,,3.0,4.0,4.0,3.0,,4.0,0.0,3.0,4.0,,4.0,0.0,1.0,1.0,,0.0,Academia,,2.0,,0.0,0.0,,,6.0,,0.0,,,0.0,,,1.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,1.0,,0.0,1.0,,,,,0.0,,,,,,,,,,0.0,1.0,,,,,,0.0,,0.0,,,,,Talent
21,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,1.0,6.0,1.0,0.0,3.0,2.0,,2.0,2.0,0.0,0.0,1.0,3.0,,,Hiring researchers,,,3.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,4.0,,,1.0,4.0,0.0,1.0,1.0,3.0,,1.0,1.0,,1.0,0.0,Industry,1.0,4.0,,4.0,,,,6.0,1.0,0.0,0.0,,0.0,1.0,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,1.0,0.0,,,,,,,,,,,1.0,,Data
22,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,2.0,,3.0,5.0,2.0,2.0,0.0,4.0,0.0,4.0,2.0,1.0,1.0,6.0,,3.0,5.0,Doing more evaluation or testing,,3.0,1.0,1.0,2.0,,3.0,1.0,0.0,,1.0,3.0,3.0,3.0,1.0,4.0,3.0,,4.0,2.0,,1.0,0.0,1.0,1.0,1.0,1.0,Academia,,3.0,,,,1.0,,5.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,0.0,,,,,,,,,,,,Compute
23,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,3.0,,1.0,6.0,,1.0,,,3.0,4.0,2.0,0.0,1.0,3.0,3.0,,,Hiring more programmers or engineers,3.0,2.0,0.0,3.0,,2.0,,,2.0,0.0,1.0,4.0,3.0,,3.0,3.0,4.0,4.0,4.0,,3.0,,1.0,0.0,,1.0,0.0,Academia,,,,,,,>500 Employees,,1.0,0.0,0.0,0.0,,1.0,,1.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,,,0.0,,Talent
24,1.0,2.0,2.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,6.0,0.0,,1.0,4.0,2.0,2.0,1.0,,1.0,6.0,,4.0,2.0,Hiring more programmers or engineers,3.0,3.0,0.0,2.0,1.0,,2.0,,0.0,2.0,2.0,2.0,,2.0,0.0,3.0,,4.0,4.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,,0.0,,,0.0,2.0,,,5.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,1.0,,,,,,,,,,0.0,1.0,0.0,0.0,,1.0,1.0,,1.0,0.0,,1.0,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,
25,4.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,,1.0,6.0,3.0,2.0,2.0,2.0,1.0,4.0,2.0,0.0,,2.0,1.0,,4.0,Purchasing more or higher-quality compute,,4.0,,,0.0,0.0,0.0,1.0,,1.0,1.0,2.0,4.0,3.0,3.0,,,,,4.0,4.0,1.0,,1.0,0.0,1.0,1.0,Government,,,2.0,,,,,6.0,0.0,0.0,,0.0,1.0,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,1.0,1.0,,,,,1.0,,Talent
26,3.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,1.0,,3.0,,,4.0,2.0,4.0,3.0,,2.0,6.0,2.0,4.0,2.0,Refining or cleaning data,3.0,3.0,1.0,1.0,0.0,4.0,,3.0,0.0,1.0,3.0,4.0,,,,3.0,4.0,3.0,2.0,,4.0,3.0,0.0,1.0,,1.0,0.0,Industry,,,1.0,0.0,,,>500 Employees,5.0,0.0,1.0,,0.0,0.0,,,,1.0,,,0.0,,,,,,,1.0,,1.0,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,1.0,0.0,0.0,1.0,,
27,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,,,6.0,1.0,,3.0,0.0,1.0,3.0,,1.0,1.0,3.0,1.0,,5.0,Refining or cleaning data,2.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,4.0,1.0,,4.0,,,3.0,4.0,4.0,,4.0,4.0,1.0,,0.0,0.0,1.0,0.0,,,3.0,,3.0,0.0,,,,0.0,0.0,,,,1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,0.0,,0.0,,,,,1.0,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,Compute
28,3.0,3.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,3.0,1.0,1.0,,2.0,,3.0,2.0,,2.0,4.0,0.0,1.0,6.0,,1.0,,,3.0,,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,2.0,3.0,,3.0,4.0,4.0,,,4.0,4.0,,0.0,1.0,0.0,,0.0,Academia,,,,,,1.0,,6.0,0.0,0.0,1.0,0.0,,1.0,0.0,,,0.0,,1.0,,,,,,,1.0,,,,,,0.0,,,,,1.0,,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,0.0,,Talent
29,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,,1.0,4.0,2.0,,,1.0,0.0,4.0,,1.0,1.0,3.0,2.0,,1.0,Purchasing more or higher-quality compute,4.0,3.0,2.0,2.0,0.0,1.0,,,,3.0,1.0,1.0,,3.0,,,3.0,3.0,4.0,3.0,3.0,0.0,0.0,1.0,1.0,,0.0,Academia,1.0,,,4.0,,,,6.0,0.0,0.0,1.0,0.0,1.0,,,1.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,1.0,,,,,,1.0,
